NEWPOST,TIME,DATE,PERCENTAGE
0,18:19:33,06-03-14
0,18:20:04,06-03-14
0,18:20:35,06-03-14
NEWPOST,TIME,DATE,PERCENTAGE
0,18:21:43,06-03-14
NEWPOST,TIME,DATE,PERCENTAGE
0,18:22:04,06-03-14
0,18:23:10,06-03-14
0,18:23:10,06-03-14
0,18:23:10,06-03-14
0,18:23:41,06-03-14
0,18:24:11,06-03-14
0,18:24:11,06-03-14
0,18:24:42,06-03-14
0,18:25:12,06-03-14
0,18:25:12,06-03-14
0,18:25:13,06-03-14
0,18:25:44,06-03-14
0,18:26:13,06-03-14
0,18:26:15,06-03-14
0,18:26:45,06-03-14
0,18:27:13,06-03-14
0,18:27:16,06-03-14
0,18:27:47,06-03-14
0,18:28:14,06-03-14
0,18:28:18,06-03-14
0,18:28:48,06-03-14
0,18:29:15,06-03-14
0,18:29:19,06-03-14
0,18:29:50,06-03-14
0,18:30:16,06-03-14
0,18:30:21,06-03-14
0,18:30:51,06-03-14
0,18:31:16,06-03-14
0,18:31:22,06-03-14
0,18:31:53,06-03-14
